(Years)|(années)
1 year|1 an
10 years|10 ans
2 years|2 ans
3 years|3 ans
5 years|5 ans
6 months|6 mois
at|à
About|A propos
FOR SALE|A VENDRE
For Sale|A vendre
Price Agreement|Accord de prix
Buys|Achète
Buy this apartment|Acheter cet appartement
Buy this commercial building|Acheter cet immeuble commercial
Buy this mansion|Acheter cette maison
Buy Stock|Acheter des actions
Buy Firm|Acheter la firme
Buy Land|Acheter le terrain
Citric Acid|Acide citrique
CITRIC ACID|ACIDE CITRIQUE
Chairman|Actionnaire majoritaire
Chairman & CEO|Actionnaire majoritaire & PDG
Chairman and CEO|Actionnaire majoritaire et PDG
Financial Actions|Actions financières
CURRENT|ACTUEL
Aggressive|Aggressif
Computer's Aggressiveness|Aggressivité
FROZEN LAMB|AGNEAU CONGELE
Frozen Lamb|Agneau congelé
Expansion|Agrandissement
Competitor Aggressiveness|Agressivité des concurrents
Farming|Agriculture
Add|Ajouter
Add All|Ajouter tout
Randomize|Aléatoire
Go|Aller
Go to Client|Aller au client
Go to Media|Aller au média
Game Starting Year|Année de départ
Abort|Annuler
Cancel|Annuler
August|Août
Camera|Appareil photo
CAMERA|APPAREIL PHOTO
Apartment|Appartement
Owned by|Appartient à
Apply All|Appliquer à tout
after|Après
Cash|Argent
CASH|ARGENT
Cash:|Argent:
Central Bank Attitude|Attitude de la Banque Centrale
Attitude Towards You|Attitude envers vous
None|Aucun
Fund to be Raised|Augmenter les fonds
Automobile|Automobile
AUTOMOBILE|AUTOMOBILE
Competitor Advantage|Avantage des concurrents
April|Avril
Bank|Banque
BANKRUPTCY|BANQUEROUTE
BANKRUPTCY!|BANQUEROUTE!
CHOCOLATE BAR|BARRE CHOCOLATEE
Chocolate Bar|Barre chocolatée
CEREAL BAR|BARRE DE CEREALE
Cereal Bar|Barre de céréale
Low|Bas
BASIC|Basique
Community Building|Bâtiments communautaires
Good|Ben
Annual Profit|Bénéfice annuel
Annual Gross Profit|Bénéfice brut annuel
Annual Operating Profit|Bénéfice d'exploitation annuel
Annual Operating Profit of Your Corporation|Bénéfice d'exploitation annuel de votre société
Annual Operating Profit of Companies Under Your Control|Bénéfice d'exploitation annuel des compagnies sous votre contrôle
Firm Profit|Bénéfice de la firme
Annual Net Profit|Bénéfice net annuel
Earnings Per Share|Bénéfice par action
Cattle|Bétail
Cool|Bien
Consumer Goods|Biens consommés
Industrial Goods|Biens industriels
Jewelry|Bijoux
Balance Sheet|Bilan financier
Corporate Balance Sheet|Bilan financier de la société
Blazer|Blouson
FROZEN BEEF|BOEUF CONGELE
Frozen Beef|Boeuf congelé
Beverage|Boissons
Canned Corn|Boite de MAÏS
CANNED CORN|BOITE DE MAÏS
Canned Soup|Boite de soupe
CANNED SOUP|BOITE DE SOUPE
Bonus|Bonus
Goal Score Bonus|Bonus score d'objectif
Boom|Boom
Livestock Products|Boucherie
Stock Market|Bourse
Alternative Stock Sim|Bourse alternative
Bottled Milk|Bouteille de lait
Fog of War|Brouillard de guerre
Chief Operating Officer's Office|Bureau du Directeur d'Exploitation
CHIEF OPERATING OFFICER'S OFFICE|BUREAU DU DIRECTEUR D'EXPLOITATION
Chief Marketing Officer's Office|Bureau du Directeur Marketing
CHIEF MARKETING OFFICER'S OFFICE|BUREAU DU DIRECTEUR MARKETING
CHIEF TECHNICAL OFFICER'S OFFICE|BUREAU DU DIRECTEUR RECHERCHE & DEVELOPPEMENT
Chief Technical Officer's Office|Bureau du Directeur Recherche & Développement
Chief Executive Officer Office|Bureau du Président-Directeur Général
Chief Executive Officer's Office|Bureau du Président-Directeur Général
Cocoa|Cacao
COCOA|CACAO
Compact Kamera|Caméra compact
COMPACT KAMERA|Caméra compact
DIGITAL CAMERA|CAMERA NUMERIQUE
Digital Camera|Caméra numérique
CAMCORDER|CAMESCOPE
Camcorder|Caméscope
Your Start-up Capital|Capital de départ
Competitor Start-up Capital|Capital de départ des concurrents
Market Cap|Capitalisation boursière
Career|Carrière
Car Body|Carrosserie
CAR BODY|CARROSSERIE
Fire Station|Caserne des pompiers
Information Center|Centre d'information
Ceases.|Cesse.
Chair|Chaise
CHAIR|CHAISE
Field of Expertise|Champ d'expertise
Change Internal Sale|Changer en vente interne
Change Training Budget|Changer le budget d'entraînement
COAL|CHARBON
Load|Charger
LOAD SCRIPT|Charger script
Chart|Charte
Hot|Chaud
Footwear|Chaussure
Footweare|Chaussure
FOOTWEARE|CHAUSSURE
Chewing Gum|Chewing-gum
CHEWING GUM|CHEWING-GUM
Cigars|Cigares
CIGARS|CIGARES
Cigarettes|Cigarettes
CIGARETTES|CIGARETTES
Rankings|Classement
Client|Client
Clients|Clients
Golf Clubs|Club de golF
GOLF CLUBS|CLUB DE GOLF
Pig|Cochon
CHEAT ENABLE|Code activé
Snacks|Collations
Hair Color|Coloration
HAIR COLOR|COLORATION
How much do you offer ?|Combien m'offrez-vous ?
Start|Commencer
Police Station|Commissariat de police
Competence of Local Competitors|Compétence des concurrents locaux
Compliment|Compliment
ELECTRONIC COMPONENTS|COMPOSANTS ELECTRONIQUES
Electronic Components|Composants électroniques
COMPETITORS|CONCURRENTS
Confidential|Confidentiel
Confirm|Confirmer
Comfort|Confort
Frozen|Congelé
Conservative|Conservateur
Handheld Game Console|Console portable
HANDHELD GAME CONSOLE|CONSOLE PORTABLE
Fast build is now enabled|Construction rapide activée
Fast build is now disabled|Construction rapide désactivée
BUILD|CONSTRUIRE
Continue|Continuer
Continue Game|Continuer la partie
Cookies|Cookies
COOKIES|COOKIES
COSMETIC|COSMETIQUE
COSMETICS|COSMETIQUES
Cosmetics|Cosmétiques
Cotton|Coton
Color|Couleur
CORPORATE COLOR|Couleur de la société
Cost|Coût
Freight Cost|Coût de frais
Advertising Cost (CPM)|Coût de la publicité (mensuel)
Cost+Freight|Coût+FdP
Building costs:|Coûts de construction
CPI|CPI
CPU|CPU
Creating a New Game . . . . .|Création d'une nouvelle partie . . . . .
Credits|Crédits
Create|Créer
Crop|Culture
Cursor|Curseur
Do you agree?|D'accord ?
in|dans
Game date:|Date du jeu:
File date:|Date:
from|de
December|Décembre
CHALLENGE GAME|DEFIS
Challenge Game|Défis
Degree (0-100)|Degré
Delegate|Déléguer
Demand|Demande
Demand Bonus|Demande (bonus)
Ask Salary Raise|Demander une augmentation de salaire
Demolish this firm|Démolir cette usine
Demolish Apartment|Démolir l'appartement
Demolish the apartment and sell the land|Démolir l'appartement et ventre le terrain
Demolish Commercial Building|Démolir l'immeuble commercial
Demolish Firm|Démolir la firme
Demolish the building and sell the land|démolir le bâtiment et vendre le terrain
Demolish the mansion and sell the land|Démolire la maison et vendre le terrain
FINANCE DEPARTMENT|DEPARTEMENT DES FINANCES
Finance Department|Département des finances
HUMAN RESOURCES DEPARTMENT|DEPARTEMENT DES RESSORCES HUMAINES
Human Resources Department|Département des Ressources Humaines
Advertising Expense|Dépense publicitaire
Advertising & PR Expense|Dépense publicitaire & RP
EXPENSES|DEPENSES
Expenses|Dépenses
Description|Description
Description of the saved game:|Description de la partie sauvée
DESSERT|DESSERT
Detailed|Détaillé
Detail|Détails
Corporate Details|Détails de la société
DETERGENT|DETERGENT
Detergent|Détergent
Development|Développement
Difficulty:|Difficulté
Normal Difficulty. Enjoyable for Most Players.|Difficulté normale. Jouable pour la plupart des joueurs.
Chief Operating Officer|Directeur d'Exploitation
Chief operating officer|Directeur d'Exploitation
Chief Operating Officer of|Directeur d'Exploitation de
Chief Marketing Officer|Directeur Marketing
Chief Marketing Officer of|Directeur Marketing de
Chief Technical Officer|Directeur Recherche & Développement
Chief Technical Officer of|Directeur Recherche & Développement de
Available|Disponible
Distance|Distance
Diversified|Diversifié
Dividend Paid|Dividende payé
Goal Industries - Goals of Industry Dominance|Domination dans les secteurs suivants
Donations|Donations
Double-click here to view the product detail report.|Double-clic ici pour voir le rapport détaillé du produit
No. of Years|Durée (ans)
Number of Game Years|Durée d'année
Fail Loading Game|Echec du chargement
Home Appliances|Electoménager
Employment|Embauche
Employee|Employé
Employees|Employés
Bank Loans|Emprunts bancaires
Crop Growing|en cultivation
Developing|En développement
Remove|Enlever
Remove All|Enlever tout
Record|Enregistrement
ENVIRONMENT|ENVIRONNEMENT
Convenience Store|Epicerie
Sport Equipement|Equipement de sport
Error creating profile|Erreur lors de la création du profil
Are you Certain that you wish to delete this person from the list?|Êtes-vous certain de vouloir supprimer cette personne de la liste ?
Declare Bankruptcy, ARE YOU SURE ?|Êtes-vous sûr de vouloir déclarer la faillite ?
Random Events|Evènements Aléatoire
Expertise|Expertise
Explored|Exploré
Manufacturing|Fabrication
EYE SHADOW|FARD A PAUPIERES
Eye Shadow|Fard à paupières
Flour|Farine
FLOUR|FARINE
Farm|Ferme 
Farm - Large|Ferme - Grand
Farm - Medium|Ferme - Moyen
Close|Fermer
CLOSE|FERMER
Fertile|Fertilisant
February|Février
Flax Fiber|Fibre de lin
FLAX FIBER|FIBRE DE LIN
Financials|Financiers
Firm|Firme
Firms|Firmes
Function:|Fonction
Function: Issusing new shares|Fonction: Dégager de nouvelles actions
Function: Trading stocks|Fonction: Echanges boursières
Function: Borrowing bank loans|Fonction: Emprunter à la banquer
Function: Advertising your products|Fonction: Faire la publicité de vos produits
Function: Provide information|Fonction: Fournir des informations
Player's Wealth ($million)|Fortune du joueur ($million)
Freight Charge|Frais de charge
Daily Frequency|Fréquence journalière
Frequent|Fréquent
AI Friendly Merger|Fusion des concurrents
Cakes|Gâteaux
CAKES|GÂTEAUX
Huge|Gigantesque
Cold|Glace
Ice Cream|Glace
ICE CREAM|GLACE
Government|Gouvernement
Department Stores|Grand Magasin
Grand strategy plan|Grand plan de stratégie
Graphs 1|Graph 1
Graphs 2|Graph 2
Guide|Guide
Farmer's Guide|Guide du fermier
Apparel|Habillement
High|Haut
Coconut Oil|Huile de noix de coco
COCONUT OIL|HUILE DE NOIX DE COCO
Human|Humain
Humans|Humains
Ignore|Ignorer
Commercial Building|Immeuble commerciale
Real Estate|Immobilier
Constant Import Supply|Importation constante
IMPORTS|IMPORTS
Cannot purchase the stock|Impossible d'acheter des actions
Cannot purchase the apartment|Impossible d'acheter l'appartement
